tempmax;tempmin;temp;feelslikemax;feelslikemin;feelslike;dew;humidity;precip;precipprob;precipcover;preciptype;snow;snowdepth;windgust;windspeed;winddir;sealevelpressure;cloudcover;visibility;solarradiation;solarenergy;uvindex;severerisk;moonphase;weathercondition
25.7;10.9;19.6;25.7;10.9;19.6;9.0;52.6;0.0;0.0;0.0;;;;;26.4;30.4;1012.4;50.7;13.2;;;;;0.09;partly-cloudy-day
28.0;13.1;21.3;27.4;13.1;21.2;10.7;52.4;0.0;0.0;0.0;;;;;26.9;49.3;1015.2;30.2;12.8;;;;;0.12;partly-cloudy-day
31.6;16.1;22.6;30.1;16.1;22.3;11.0;51.2;0.0;0.0;0.0;;;;;39.3;22.6;1016.5;14.2;13.3;;;;;0.16;clear-day
26.5;12.1;20.8;26.5;12.1;20.8;10.6;53.4;0.0;0.0;0.0;;;;;28.8;13.7;1017.4;39.0;13.2;;;;;0.19;partly-cloudy-day
27.5;11.1;19.3;26.6;11.1;19.2;5.8;45.8;0.0;0.0;0.0;;;;;31.7;12.0;1016.1;7.5;12.5;;;;;0.23;clear-day
26.3;10.1;19.5;26.3;10.1;19.5;7.6;48.2;0.0;0.0;0.0;;;;;29.5;5.4;1015.7;17.8;13.2;;;;;0.25;clear-day
26.9;11.3;18.9;26.5;11.3;18.8;6.0;45.2;0.0;0.0;0.0;;;;;25.9;359.2;1013.6;2.4;12.3;;;;;0.3;clear-day
27.9;9.1;19.5;26.9;9.1;19.4;8.0;50.5;0.0;0.0;0.0;;;;;24.0;359.5;1014.4;21.8;12.5;;;;;0.34;partly-cloudy-day
29.1;9.1;21.1;27.7;9.1;20.8;7.0;44.3;0.0;0.0;0.0;;;;;17.7;17.6;1016.3;0.0;12.5;;;;;0.37;clear-day
31.0;12.5;22.6;29.7;12.5;22.2;8.3;41.6;0.0;0.0;0.0;;;;;27.7;357.4;1014.4;20.5;12.8;;;;;0.41;partly-cloudy-day
32.8;14.9;24.1;30.9;14.9;23.5;8.7;40.8;0.0;0.0;0.0;;;;;25.8;18.2;1013.3;1.1;11.6;;;;;0.45;clear-day
32.5;15.9;24.7;30.6;15.9;24.0;8.8;39.2;0.0;0.0;0.0;;;;;25.5;64.4;1012.6;0.0;12.1;;;;;0.48;clear-day
